"data_class1" ""
"1" 14.130392194769 1
"2" 9.26182823530832 1
"3" 11.6429484762949 1
"4" 2.7683238762356 1
"5" 3.90669939670257 1
"6" 19.3230504156711 1
"7" 13.2089629732508 1
"8" 5.88353167274159 1
"9" 12.6514572885533 1
"10" 17.5637963607704 1
"11" 17.4472761037617 1
"12" 4.87706132147593 1
"13" 13.2228017841485 1
"14" 14.7119604256269 1
"15" 1.82539868103254 1
"16" 2.94518686254766 1
"17" 4.18886834464686 1
"18" 19.3942203918928 1
"19" 3.70235893189461 1
"20" 17.2744371630206 1
"21" 15.3237373987396 1
"22" 2.35133947587747 1
"23" 2.0403179433816 1
"24" 16.1301042147157 1
"25" 16.7933354423614 1
"26" 20.9722000133352 1
"27" 10.0755594807242 1
"28" 6.50091222948725 1
"29" 19.6837267861718 1
"30" 2.53336682086616 1
"31" 4.35010404315184 1
"32" 7.92141151512195 1
"33" 5.14353658530956 1
"34" 4.07548243856154 1
"35" 12.1167215039041 1
"36" 0.925880574681576 1
"37" 15.0235481574723 1
"38" 4.71211909943749 1
"39" 6.29282856868933 1
"40" 6.60614192284958 1
"41" 5.9984911553978 1
"42" 7.8407471913588 1
"43" 9.48285274359582 1
"44" 4.37982163801655 1
"45" 15.478465524989 1
"46" 17.1013833449165 1
"47" 16.6785817911877 1
"48" 11.3252220118424 1
"49" 9.77433588877106 1
"50" 3.68216214642356 1
"51" 6.23565798154566 1
"52" 19.9198494604135 1
"53" 12.2865795033282 1
"54" 4.90812865081904 1
"55" 2.57767945199381 1
"56" 1.75127665867354 1
"57" 3.52723509273003 1
"58" 5.00925848818956 1
"59" 5.52103075920995 1
"60" 19.2860997369237 1
"61" 15.5822231146807 1
"62" 3.69385008993844 1
"63" 2.22151856564714 1
"64" 15.0921929517946 1
"65" 2.95325791487671 1
"66" 2.38445084091809 1
"67" 1.94229964586309 1
"68" 8.46245707259933 1
"69" 6.94806976517358 1
"70" 3.36956221415444 1
"71" 16.0200831960747 1
"72" 13.7811509424603 1
"73" 15.3010967790549 1
"74" 3.86620422922087 1
"75" 0.934242369552017 1
"76" 14.2731481763334 1
"77" 4.62784386932543 1
"78" 13.6872806209371 1
"79" 4.51248466411272 1
"80" 14.2090464249117 1
