 time       temp
 0.002740   1.72806218
 0.005479   2.75161126
 0.008219   2.85435416
 0.010959   2.10605420
 0.013699   0.62294387
 0.016438  -2.66326751
 0.019178  -2.54454190
 0.021918  -0.72833062
 0.024658  -2.76422643
 0.027397  -2.55203099
 0.030137   1.70374090
 0.032877   0.44660691
 0.035616  -0.56211427
 0.038356  -1.46965864
 0.041096  -2.66542057
 0.043836   0.92675657
 0.046575   0.20312524
 0.049315  -2.60000858
 0.052055  -1.57432205
 0.054795  -3.10719570
 0.057534  -8.53811185
 0.060274  -5.58168746
 0.063014  -4.17550222
 0.065753   4.56475439
 0.068493   4.67498037
 0.071233   2.41085334
 0.073973   1.33559352
 0.076712   3.58088656
 0.079452  -0.12326847
 0.082192  -0.49389254
 0.084932   1.02573211
 0.087671   0.48576426
 0.090411  -3.86243717
 0.093151  -3.66923326
 0.095890  -4.65170946
 0.098630  -8.99737987
 0.101370  -9.51054117
 0.104110  -5.06425586
 0.106849  -3.21968133
 0.109589  -4.66943550
 0.112329  -2.61405349
 0.115068  -1.84145864
 0.117808   0.48810182
 0.120548   1.75527798
 0.123288  -0.36271900
 0.126027  -2.74905429
 0.128767  -0.59724242
 0.131507  -2.17082768
 0.134247  -2.38921744
 0.136986  -1.43338453
 0.139726  -4.73164074
 0.142466  -7.78097338
 0.145205  -6.57143523
 0.147945  -3.03649886
 0.150685  -9.10458549
 0.153425  -7.96256470
 0.156164  -7.94937640
 0.158904 -11.33689313
 0.161644 -12.23807288
 0.164384  -8.95452922
 0.167123  -6.06848026
 0.169863  -7.33866173
 0.172603  -8.48330369
 0.175342  -4.30928769
 0.178082  -2.11509561
 0.180822  -0.70653568
 0.183562  -2.02589511
 0.186301  -1.86099789
 0.189041  -2.23466627
 0.191781  -0.09575766
 0.194521   1.13368442
 0.197260  -1.00038444
 0.200000  -1.17633074
 0.202740  -5.30460038
 0.205479  -7.67320431
 0.208219  -7.02051432
 0.210959  -6.26738650
 0.213699  -1.70205886
 0.216438  -1.91354826
 0.219178  -0.49864568
 0.221918  -0.16381791
 0.224658   0.28844020
 0.227397   0.56046998
 0.230137   4.13888827
 0.232877  -1.91024328
 0.235616  -3.14660902
 0.238356  -3.18908049
 0.241096  -2.16990925
 0.243836  -1.62546579
 0.246575  -0.16309619
 0.249315  -0.61574807
 0.252055   0.87839848
 0.254795   0.81936587
 0.257534   4.07354696
 0.260274   5.39282622
 0.263014   2.91657021
 0.265753   6.49366650
 0.268493   9.16210531
 0.271233   7.39044982
 0.273973   2.81598955
 0.276712   1.84479672
 0.279452   4.14924185
 0.282192   5.95165406
 0.284932   8.18872870
 0.287671   7.02419072
 0.290411   8.23578614
